ID, TWEET, LABEL
1,"['اوليمبياد', 'جيه', 'هكن', 'لسه']",none
2,"['عجز', 'وزن', 'وصل', '937', 'نتج', 'حلي', 'يعن', 'لسه', 'اقل', '7', 'هيم', 'لسه', 'تبع', 'اوليمبياد']",anger
3,"['كتن', 'نيل', 'حظن', 'هبب', 'xD']",sadness
4,"['جمع', 'نرد', 'حقق', 'هدف', 'ونس', 'تلق', 'حرس', 'رمي']",joy
5,"['اوليمبياد', 'نظم', 'مواعيد', 'مونديال', 'مكانتش', 'قرف', 'حجه', 'عقل']",none
6,"['دلق', 'ربع', 'سنن', 'حدش', 'قدر', 'كلم', 'سبح']",surprise
7,"['لحب', 'سلب', 'كيد', 'برء', 'اول', 'دفع', 'عرف', 'وحث', 'تخف', 'فهي', 'قوم', 'احا', 'قوم', 'تحب']",love
8,"['she3er', 'شوف', 'بـ', 'امن', 'غلب', 'حلم', 'ثلث', 'شعب', 'سنب', 'she3er1']",sympathy
9,"['86', 'صوت', 'حبب', 'ثلث', 'بوح', 'غزل']",love
10,"['عمر', 'عسر', 'غلب', 'خرج', 'وبي', 'سير', 'فشل', 'اوليمبياد']",sadness
11,"['iu', 'نوي', 'خيف', 'صرح', 'دري', 'وش', 'فين']",fear
12,"['عالماش', 'لقء', 'ندر', 'نجم', 'ندي', 'لطف', 'ششه', 'ماسبيرو', 'زمن', 'تحد', 'رفه', 'فن', 'وسق']",joy
13,"['ويل', 'قلب', 'كثر', 'اغل', 'ويا', 'كثر', 'خفق', 'حبه', '❤', 'خير']",love
14,"['عجب', 'فشخ', 'عرب', 'دخل', 'اوليمبياد', 'دول', 'خصص', 'ديح', 'خد', 'دهب', 'رمي', 'قعد', 'طبلول', 'متحسبتش', 'عرب', 'حجه']",joy
15,"['قيم', 'زحم', 'شخص', 'حول', 'يكف', 'قلب', 'صدق', 'شعر', 'بـ', 'لحب', 'قول', 'فعل', 'يمش', 'معك', 'طرق', 'نهي', '•', 'كتب', 'سف…']",love
16,"['20', 'سنه', 'هيلعب', 'اوليمبياد', 'يجر', 'يفو', 'كوس']",none
17,"['اغر', 'بجن', 'لسع', 'خدش', 'فصل', 'قاء', 'هدء', 'اعد', 'ارك', 'جمع', 'ربع', 'سجن', 'ابد', 'لا…']",love
18,"['كـن', 'فسـ', 'تبـ', 'دنـ', 'طعـم', 'تني', 'حـج', 'ـنه']",sadness
19,"['فرض', 'لغو', 'اوليمبياد', 'دخل', 'كوش', 'احس']",none
20,"['25jan', 'اعذ', 'بله', 'ايسو', 'لرز', 'تحك', 'عنه', 'دم', 'لحد', 'اخا', 'يحم', 'حفظ', 'اهل']",sympathy
21,"['هالمنظر', 'عاطف', 'قلب', 'قلب', 'انث']",sympathy
22,"['0', 'نست', 'تعب', 'عكم', 'طول', 'سنن', 'جلس', 'سوه', 'بسط', 'حقق', 'شي', 'ثني', 'دفع', 'وم', 'فكر', 'بلغ']",sympathy
23,"['دعت', 'عطف', 'وفق', 'اسم', 'خشر', 'دعت', 'دقق']",sympathy
24,"['وطن', 'خبط', 'رسه', 'حيط', 'حجج', 'وذا', 'قبض', 'يقل', 'يشف', 'حيط', 'جمد', 'عمر']",anger
25,"['بعث', 'اوليمبياد', 'ريح', 'فرج', 'زيه', 'زين']",none
26,"['بقي', 'حصل', 'يخل', 'طفل', 'منن', 'سعن', 'وكم', 'مواليد', '20', 'مايحقوش', 'حجه', 'حته', 'اوليمبياد']",surprise
27,"['اتر', 'غدر', 'غدر']",sadness
28,"['وفق', 'جهز', 'دري', 'قيد', 'عبدالعزيز', 'طوع', 'وحس', 'وفق', 'يرب']",sympathy
29,"['ستر', 'همدوش', 'ابد', 'جمع', 'شيط']",surprise
30,"['جمل', 'تزر', 'حلم', 'طمئ', 'قلب', 'حزن', 'يوم', 'جمل', '❤']",love
31,"['دعء', 'اشف', 'عبد', 'لؤي', 'صلح', 'عرض', 'جلط', 'زمت', 'فرش', 'حمد', 'تحس', 'سمر', 'طلب', 'دعا']",sympathy
32,"['حال', 'ركز', '61', '67', 'ركز', 'اوليمبياد', 'بلش']",none
33,"['حال', 'صدم', 'عطف', 'جسد', 'هيش', 'اهذ']",surprise
34,"['دعء', 'لهل', 'حلب', 'فهم', 'بحج', 'فهم', 'عرض', 'قصف', 'شرس', 'نسل', 'حفظ', 'فهن', 'شهداء', 'جرح', 'اسل', 'يشف']",sympathy
35,"['عرف', 'رازيل', 'فزت', 'نظم', 'اوليمبياد']",surprise
36,"['برح', 'بقل', 'فرق', 'طول', 'حيت', 'نهي', 'وانهارده', 'بقت', 'بقل', 'موش', 'عيز', 'قدم', 'يجب', 'سير']",sadness
37,"['Minawya9', 'خلص', 'مهو', 'دخل', 'كسو', 'مالهاشتاج', 'كتب', 'هاشتاج', 'رحب', 'بيه', 'يتر']",joy
38,"['اير', 'تمل', 'قنه', 'حره', 'عاك', 'اير', 'تري', 'ابغ', 'امح', 'ارض', 'خلي', 'بلش', 'شكل']",anger
39,"['يدو', 'حيت']",joy
